Authors,Title,Year,Source title,Cited by
"Pawar S., Dell A.I., Van M. Savage",Pawar et al. reply,2013,Nature,4
"Briscoe S.D., Ragsdale C.W.","Homology, neocortex, and the evolution of developmental mechanisms",2018,Science,5
Clayton R.N.,Meteorites and their parent asteroids,2006,Science,5
Dauphas N.,Sulphur from heaven and hell,2013,Nature,5
Gibson M.G.,Fate of Iraqi archaeology,2003,Science,5
"Hassan N., Cunningham S., Mourigal M., Zhilyaeva E.I., Torunova S.A., Lyubovskaya R.N., Schlueter J.A., Drichko N.",Evidence for a quantum dipole liquid state in an organic quasi-two-dimensional material,2018,Science,5
"Hochberg G.K.A., Shepherd D.A., Marklund E.G., Santhanagoplan I., Degiacomi M.T., Laganowsky A., Allison T.M., Basha E., Marty M.T., Galpin M.R., Struwe W.B., Baldwin A.J., Vierling E., Benesch J.L.P.",Structural principles that enable oligomeric small heat-shock protein paralogs to evolve distinct functions,2018,Science,5
Long M.,Journal club,2007,Nature,5
"Lopez S., Tejos N., Ledoux C., Felipe Barrientos L., Sharon K., Rigby J.R., Gladders M.D., Bayliss M.B., Pessa I.",A clumpy and anisotropic galaxy halo at redshift 1 from gravitational-Arc tomography,2018,Nature,5
"Mendoza J.L., Escalante N.K., Jude K.M., Sotolongo Bellon J., Su L., Horton T.M., Tsutsumi N., Berardinelli S.J., Haltiwanger R.S., Piehler J., Engleman E.G., Garcia K.C.",Structure of the IFNγ receptor complex guides design of biased agonists,2019,Nature,5
"Schine N., Chalupnik M., Can T., Gromov A., Simon J.",Electromagnetic and gravitational responses of photonic Landau levels,2019,Nature,5
Coyne J.A.,Switching on evolution,2005,Nature,6
"Karliner M., Rosner J.L.",Quark-level analogue of nuclear fusion with doubly heavy baryons,2017,Nature,6
"Li X., Bamba M., Yuan N., Zhang Q., Zhao Y., Xiang M., Xu K., Jin Z., Ren W., Ma G., Cao S., Turchinovich D., Kono J.",Observation of Dicke cooperativity in magnetic interactions,2018,Science,6
"Meselson M., Welch D.M.",Evolution: Stable heterozygosity?,2007,Science,6
"Nakamura N., Huang C.S.Y.",Atmospheric blocking as a traffic jam in the jet stream,2018,Science,6
"Cunningham R., Zhao C., Parab N., Kantzos C., Pauza J., Fezzaa K., Sun T., Rollett A.D.",Keyhole threshold and morphology in laser melting revealed by ultrahigh-speed x-ray imaging,2019,Science,7
