strain,id,sex,totalbody,femur,spine
129X1/SvJ,129X1_10,M,0.0549,0.0925,0.0695
129X1/SvJ,129X1_4,M,0.0554,0.0911,0.0634
129X1/SvJ,129X1_7,M,0.0540,0.0905,0.0688
129X1/SvJ,129X1_12,M,0.0555,0.0896,0.0721
129X1/SvJ,129X1_11,M,0.0510,0.0876,0.0758
129X1/SvJ,129X1_1,M,0.0579,0.0906,0.0665
129X1/SvJ,129X1_3,M,0.0572,0.0893,0.0646
129X1/SvJ,129X1_5,M,0.0553,0.0856,0.0654
129X1/SvJ,129X1_6,M,0.0526,0.0824,0.0651
129X1/SvJ,129X1_9,M,0.0538,0.0826,0.0666
129X1/SvJ,129X1_8,M,0.0537,0.0877,0.0712
129X1/SvJ,129X1_2,M,0.0531,0.0817,0.0644
A/J,AJ_12,M,0.0489,0.0740,0.0551
A/J,AJ_11,M,0.0444,0.0737,0.0536
A/J,AJ_4,M,0.0503,0.0689,0.0539
A/J,AJ_6,M,0.0470,0.0677,0.0562
A/J,AJ_9,M,0.0484,0.0680,0.0510
A/J,AJ_7,M,0.0427,0.0595,0.0492
A/J,AJ_10,M,0.0455,0.0717,0.0523
A/J,AJ_13,M,0.0443,0.0662,0.0560
A/J,AJ_5,M,0.0456,0.0630,0.0541
A/J,AJ_3,M,0.0414,0.0597,0.0462
A/J,AJ_1,M,0.0465,0.0626,0.0538
A/J,AJ_8,M,0.0449,0.0613,0.0499
A/J,AJ_2,M,0.0444,0.0597,0.0456
AKR/J,AKR_12,M,0.0586,NA,0.0679
AKR/J,AKR_2,M,0.0595,0.1095,0.0734
AKR/J,AKR_8,M,0.0597,0.0992,0.0720
AKR/J,AKR_11,M,0.0571,0.0905,0.0675
AKR/J,AKR_1,M,0.0579,0.0947,0.0753
AKR/J,AKR_3,M,0.0570,0.0916,0.0736
AKR/J,AKR_4,M,0.0622,0.0945,0.0696
AKR/J,AKR_10,M,0.0561,0.0834,0.0689
AKR/J,AKR_7,M,0.0569,0.0868,0.0745
AKR/J,AKR_9,M,0.0546,0.0777,0.0706
AKR/J,AKR_6,M,0.0612,0.0895,0.0671
AKR/J,AKR_5,M,0.0538,0.0813,0.0656
AXB-1/PgnJ,AXB1_6,M,0.0458,0.0741,0.0527
AXB-1/PgnJ,AXB1_5,M,0.0460,0.0731,0.0523
AXB-1/PgnJ,AXB1_2,M,0.0420,0.0724,0.0485
AXB-1/PgnJ,AXB1_7,M,0.0442,0.0658,0.0465
AXB-1/PgnJ,AXB1_4,M,0.0406,0.0665,0.0479
AXB-1/PgnJ,AXB1_8,M,0.0450,0.0678,0.0510
AXB-1/PgnJ,AXB1_3,M,0.0423,0.0686,0.0478
AXB-1/PgnJ,AXB1_1,M,0.0426,0.0663,0.0469
AXB-10/PgnJ,AXB10_1,M,0.0464,0.0859,0.0668
AXB-10/PgnJ,AXB10_2,M,0.0468,0.0743,0.0604
AXB-10/PgnJ,AXB10_7,M,0.0485,0.0802,0.0561
AXB-10/PgnJ,AXB10_6,M,0.0496,0.0830,0.0535
AXB-10/PgnJ,AXB10_4,M,0.0481,0.0771,0.0527
AXB-10/PgnJ,AXB10_3,M,0.0434,0.0751,0.0532
AXB-10/PgnJ,AXB10_5,M,0.0464,0.0721,0.0512
AXB-12/PgnJ,AXB12_5,M,0.0470,0.0751,0.0563
AXB-12/PgnJ,AXB12_1,M,0.0450,0.0726,0.0552
AXB-12/PgnJ,AXB12_7,M,0.0447,0.0715,0.0534
AXB-12/PgnJ,AXB12_3,M,0.0471,0.0707,0.0573
AXB-12/PgnJ,AXB12_6,M,0.0460,0.0664,0.0524
AXB-12/PgnJ,AXB12_2,M,0.0415,0.0635,0.0506
AXB-12/PgnJ,AXB12_4,M,0.0415,0.0648,0.0500
AXB-13/PgnJ,AXB13_3,M,0.0441,0.0607,0.0506
AXB-13/PgnJ,AXB13_7,M,0.0431,0.0624,0.0516
AXB-13/PgnJ,AXB13_4,M,0.0425,0.0583,0.0493
AXB-13/PgnJ,AXB13_5,M,0.0428,0.0649,0.0522
AXB-13/PgnJ,AXB13_1,M,0.0441,0.0608,0.0523
AXB-13/PgnJ,AXB13_2,M,0.0446,0.0645,0.0525
AXB-13/PgnJ,AXB13_8,M,0.0391,0.0565,0.0424
AXB-13/PgnJ,AXB13_6,M,0.0388,0.0555,0.0436
AXB-15/PgnJ,AXB15_5,M,0.0517,0.0816,0.0567
AXB-15/PgnJ,AXB15_2,M,0.0449,0.0712,0.0526
AXB-15/PgnJ,AXB15_6,M,0.0510,0.0726,0.0581
AXB-15/PgnJ,AXB15_3,M,0.0453,0.0687,0.0571
AXB-15/PgnJ,AXB15_1,M,0.0444,0.0702,0.0537
AXB-15/PgnJ,AXB15_4,M,0.0420,0.0672,0.0519
AXB-18/PgnJ,AXB19a_3,M,0.0456,0.0766,0.0536
AXB-18/PgnJ,AXB19a_6,M,0.0460,0.0727,0.0515
AXB-18/PgnJ,AXB19a_7,M,0.0442,0.0709,0.0517
AXB-18/PgnJ,AXB19a_4,M,0.0454,0.0760,0.0521
AXB-18/PgnJ,AXB19a_2,M,0.0412,0.0690,0.0554
AXB-18/PgnJ,AXB19a_5,M,0.0437,0.0640,0.0504
AXB-18/PgnJ,AXB19a_1,M,0.0421,0.0661,0.0576
AXB-19/PgnJ,AXB19_5,M,0.0457,0.0843,0.0528
AXB-19/PgnJ,AXB19_1,M,0.0398,0.0688,0.0463
AXB-19/PgnJ,AXB19_8,M,0.0473,0.0755,0.0526
AXB-19/PgnJ,AXB19_4,M,0.0389,0.0639,0.0479
AXB-19/PgnJ,AXB19_2,M,0.0447,0.0712,0.0466
AXB-19/PgnJ,AXB19_6,M,0.0467,0.0739,0.0556
AXB-19/PgnJ,AXB19_3,M,0.0388,0.0627,0.0462
AXB-19/PgnJ,AXB19_7,M,0.0451,0.0671,0.0541
AXB-2/PgnJ,AXB2_4,M,0.0491,0.0907,0.0621
AXB-2/PgnJ,AXB2_6,M,0.0509,0.0786,0.0582
AXB-2/PgnJ,AXB2_8,M,0.0508,0.0796,0.0566
AXB-2/PgnJ,AXB2_1,M,0.0450,0.0830,0.0553
AXB-2/PgnJ,AXB2_3,M,0.0467,0.0773,0.0596
AXB-2/PgnJ,AXB2_2,M,0.0478,0.0755,0.0589
AXB-2/PgnJ,AXB2_5,M,0.0472,0.0673,0.0524
AXB-2/PgnJ,AXB2_7,M,0.0470,0.0672,0.0512
AXB-20/PgnJ,AXB19b_4,M,0.0427,0.0766,0.0502
AXB-20/PgnJ,AXB19b_2,M,0.0438,0.0750,0.0524
AXB-20/PgnJ,AXB19b_3,M,0.0415,0.0726,0.0474
AXB-20/PgnJ,AXB19b_1,M,0.0426,0.0701,0.0471
AXB-23/PgnJ,AXB23_5,M,0.0453,NA,0.0524
AXB-23/PgnJ,AXB23_8,M,0.0461,NA,0.0554
AXB-23/PgnJ,AXB23_4,M,0.0487,NA,0.0585
AXB-23/PgnJ,AXB23_7,M,0.0450,0.0690,0.0510
AXB-23/PgnJ,AXB23_6,M,0.0459,0.0694,0.0608
AXB-23/PgnJ,AXB23_2,M,0.0406,0.0671,0.0513
AXB-23/PgnJ,AXB23_3,M,0.0421,0.0654,0.0491
AXB-23/PgnJ,AXB23_1,M,0.0432,0.0667,0.0537
AXB-24/PgnJ,AXB24_3,M,0.0454,0.0719,0.0523
AXB-24/PgnJ,AXB24_2,M,0.0442,0.0695,0.0507
AXB-24/PgnJ,AXB24_1,M,0.0445,0.0736,0.0491
AXB-24/PgnJ,AXB24_4,M,0.0457,0.0707,0.0523
AXB-24/PgnJ,AXB24_5,M,0.0470,0.0673,0.0505
AXB-4/PgnJ,AXB4_5,M,0.0504,0.0697,0.0499
AXB-4/PgnJ,AXB4_6,M,0.0400,0.0619,0.0452
AXB-4/PgnJ,AXB4_3,M,0.0402,0.0664,0.0555
AXB-4/PgnJ,AXB4_1,M,0.0425,0.0643,0.0532
AXB-4/PgnJ,AXB4_8,M,0.0415,0.0609,0.0459
AXB-4/PgnJ,AXB4_7,M,0.0416,0.0560,0.0460
AXB-4/PgnJ,AXB4_4,M,0.0395,0.0591,0.0456
AXB-4/PgnJ,AXB4_2,M,0.0382,0.0551,0.0444
AXB-5/PgnJ,AXB5_6,M,0.0425,0.0716,0.0480
AXB-5/PgnJ,AXB5_2,M,0.0461,0.0693,0.0495
AXB-5/PgnJ,AXB5_3,M,0.0427,0.0650,0.0496
AXB-5/PgnJ,AXB5_4,M,0.0412,0.0671,0.0459
AXB-5/PgnJ,AXB5_5,M,0.0431,0.0615,0.0471
AXB-5/PgnJ,AXB5_1,M,0.0396,0.0602,0.0454
AXB-6/PgnJ,AXB6_9,M,0.0480,0.0727,0.0593
AXB-6/PgnJ,AXB6_8,M,0.0467,0.0719,0.0593
AXB-6/PgnJ,AXB6_7,M,0.0486,0.0694,0.0590
AXB-6/PgnJ,AXB6_3,M,0.0504,0.0859,0.0631
AXB-6/PgnJ,AXB6_4,M,0.0525,0.0864,0.0627
AXB-6/PgnJ,AXB6_1,M,0.0495,0.0795,0.0624
AXB-6/PgnJ,AXB6_2,M,0.0535,0.0801,0.0666
AXB-6/PgnJ,AXB6_6,M,0.0438,0.0578,0.0478
AXB-8/PgnJ,AXB8_5,M,0.0433,0.0695,0.0503
AXB-8/PgnJ,AXB8_6,M,0.0461,0.0644,0.0554
AXB-8/PgnJ,AXB8_4,M,0.0420,0.0625,0.0433
AXB-8/PgnJ,AXB8_1,M,0.0397,0.0601,0.0433
AXB-8/PgnJ,AXB8_7,M,0.0430,0.0657,0.0507
AXB-8/PgnJ,AXB8_3,M,0.0452,0.0628,0.0455
AXB-8/PgnJ,AXB8_2,M,0.0414,0.0587,0.0436
BALB/cJ,BALBCJ_7,M,0.0517,0.0879,0.0642
BALB/cJ,BALBCJ_2,M,0.0487,0.0800,0.0598
BALB/cJ,BALBCJ_4,M,0.0443,0.0784,0.0535
BALB/cJ,BALBCJ_6,M,0.0554,0.0823,0.0586
BALB/cJ,BALBCJ_8,M,0.0489,0.0799,0.0552
BALB/cJ,BALBCJ_10,M,0.0507,0.0704,0.0580
BALB/cJ,BALBCJ_5,M,0.0489,0.0785,0.0614
BALB/cJ,BALBCJ_1,M,0.0509,0.0791,0.0647
BALB/cJ,BALBCJ_12,M,0.0517,0.0687,0.0546
BALB/cJ,BALBCJ_3,M,0.0475,0.0744,0.0592
BALB/cJ,BALBCJ_11,M,0.0536,0.0764,0.0550
BALB/cJ,BALBCJ_9,M,0.0489,0.0683,0.0538
BTBRT<+>tf/J,BTBR_2,M,0.0590,0.1121,0.0707
BTBRT<+>tf/J,BTBR_3,M,0.0531,0.0930,0.0633
BTBRT<+>tf/J,BTBR_1,M,0.0609,0.0967,0.0759
BTBRT<+>tf/J,BTBR_6,M,0.0639,0.0933,0.0759
BTBRT<+>tf/J,BTBR_9,M,0.0612,0.0965,0.0718
BTBRT<+>tf/J,BTBR_4,M,0.0594,0.0902,0.0701
BTBRT<+>tf/J,BTBR_7,M,0.0632,0.0923,0.0766
BTBRT<+>tf/J,BTBR_11,M,0.0526,0.0815,0.0729
BTBRT<+>tf/J,BTBR_5,M,0.0555,0.0827,0.0716
BTBRT<+>tf/J,BTBR_10,M,0.0585,0.0812,0.0665
BTBRT<+>tf/J,BTBR_8,M,0.0593,0.0797,0.0691
BUB/BnJ,BUB_9,M,0.0508,0.0889,0.0527
BUB/BnJ,BUB_4,M,0.0495,0.0853,0.0710
BUB/BnJ,BUB_2,M,0.0491,0.0893,0.0639
BUB/BnJ,BUB_6,M,0.0443,0.0834,0.0593
BUB/BnJ,BUB_1,M,0.0558,0.0837,0.0698
BUB/BnJ,BUB_8,M,0.0512,0.0797,0.0531
BUB/BnJ,BUB_10,M,0.0462,0.0805,0.0525
BUB/BnJ,BUB_7,M,0.0444,0.0792,0.0513
BUB/BnJ,BUB_5,M,0.0439,0.0745,0.0520
BUB/BnJ,BUB_11,M,0.0456,0.0761,0.0544
BXA-1/PgnJ,BXA1_2,M,0.0453,0.0779,0.0568
BXA-1/PgnJ,BXA1_3,M,0.0428,0.0699,0.0508
BXA-1/PgnJ,BXA1_1,M,0.0442,0.0667,0.0516
BXA-11/PgnJ,BXA11_1,M,0.0446,0.0702,0.0540
BXA-11/PgnJ,BXA11_3,M,0.0470,0.0637,0.0480
BXA-11/PgnJ,BXA11_4,M,0.0454,0.0600,0.0531
BXA-11/PgnJ,BXA11_2,M,0.0465,0.0634,0.0560
BXA-12/PgnJ,BXA12_4,M,0.0476,0.0776,0.0480
BXA-12/PgnJ,BXA12_8,M,0.0447,0.0753,0.0466
BXA-12/PgnJ,BXA12_11,M,0.0427,0.0747,0.0453
BXA-12/PgnJ,BXA12_10,M,0.0442,0.0740,0.0447
BXA-12/PgnJ,BXA12_9,M,0.0460,0.0756,0.0514
BXA-12/PgnJ,BXA12_6,M,0.0430,0.0733,0.0427
BXA-12/PgnJ,BXA12_1,M,0.0407,0.0630,0.0442
BXA-12/PgnJ,BXA12_5,M,0.0423,0.0674,0.0436
BXA-12/PgnJ,BXA12_7,M,0.0406,0.0671,0.0393
BXA-12/PgnJ,BXA12_2,M,0.0405,0.0622,0.0398
BXA-12/PgnJ,BXA12_3,M,0.0404,0.0549,0.0431
BXA-13/PgnJ,BXA13_2,M,0.0476,NA,0.0581
BXA-13/PgnJ,BXA13_3,M,0.0506,NA,0.0610
BXA-13/PgnJ,BXA13_4,M,0.0495,0.0767,0.0588
BXA-13/PgnJ,BXA13_1,M,0.0451,0.0715,0.0501
BXA-13/PgnJ,BXA13_8,M,0.0472,0.0739,0.0539
BXA-13/PgnJ,BXA13_5,M,0.0481,0.0683,0.0493
BXA-13/PgnJ,BXA13_6,M,0.0442,0.0647,0.0488
BXA-13/PgnJ,BXA13_7,M,0.0466,0.0674,0.0511
BXA-14/PgnJ,BXA14_4,M,0.0518,0.0932,0.0670
BXA-14/PgnJ,BXA14_8,M,0.0548,0.0949,0.0573
BXA-14/PgnJ,BXA14_7,M,0.0547,0.0962,0.0621
BXA-14/PgnJ,BXA14_3,M,0.0559,0.0979,0.0644
BXA-14/PgnJ,BXA14_1,M,0.0532,0.1019,0.0710
BXA-14/PgnJ,BXA14_2,M,0.0517,0.0938,0.0604
BXA-14/PgnJ,BXA14_5,M,0.0536,0.0868,0.0608
BXA-14/PgnJ,BXA14_6,M,0.0495,0.0847,0.0593
BXA-16/PgnJ,BXA16_3,M,0.0477,0.0823,0.0602
BXA-16/PgnJ,BXA16_5,M,0.0477,0.0814,0.0540
BXA-16/PgnJ,BXA16_7,M,0.0488,0.0825,0.0558
BXA-16/PgnJ,BXA16_1,M,0.0511,0.0797,0.0605
BXA-16/PgnJ,BXA16_4,M,0.0483,0.0772,0.0587
BXA-16/PgnJ,BXA16_6,M,0.0479,0.0736,0.0577
BXA-16/PgnJ,BXA16_2,M,0.0451,0.0692,0.0526
BXA-2/PgnJ,BXA2_6,M,0.0469,0.0775,0.0557
BXA-2/PgnJ,BXA2_7,M,0.0471,0.0791,0.0555
BXA-2/PgnJ,BXA2_3,M,0.0447,0.0810,0.0651
BXA-2/PgnJ,BXA2_8,M,0.0456,0.0707,0.0469
BXA-2/PgnJ,BXA2_5,M,0.0465,0.0730,0.0592
BXA-2/PgnJ,BXA2_2,M,0.0453,0.0742,0.0618
BXA-2/PgnJ,BXA2_4,M,0.0459,0.0723,0.0616
BXA-2/PgnJ,BXA2_1,M,0.0435,0.0603,0.0523
BXA-24/PgnJ,BXA24_8,M,0.0501,0.0847,0.0616
BXA-24/PgnJ,BXA24_4,M,0.0493,0.0835,0.0657
BXA-24/PgnJ,BXA24_7,M,0.0507,0.0782,0.0648
BXA-24/PgnJ,BXA24_1,M,0.0435,0.0801,0.0684
BXA-24/PgnJ,BXA24_3,M,0.0471,0.0777,0.0673
BXA-24/PgnJ,BXA24_2,M,0.0498,0.0800,0.0677
BXA-24/PgnJ,BXA24_5,M,0.0495,0.0720,0.0618
BXA-24/PgnJ,BXA24_6,M,0.0494,0.0678,0.0585
BXA-25/PgnJ,BXA25_6,M,0.0510,0.0931,0.0619
BXA-25/PgnJ,BXA25_3,M,0.0487,0.0885,0.0631
BXA-25/PgnJ,BXA25_1,M,0.0493,0.0870,0.0659
BXA-25/PgnJ,BXA25_8,M,0.0521,0.0830,0.0621
BXA-25/PgnJ,BXA25_2,M,0.0446,0.0783,0.0546
BXA-25/PgnJ,BXA25_4,M,0.0460,0.0778,0.0581
BXA-25/PgnJ,BXA25_5,M,0.0500,0.0804,0.0649
BXA-25/PgnJ,BXA25_7,M,0.0492,0.0816,0.0634
BXA-26/PgnJ,BXA26_1,M,0.0468,0.0762,0.0532
BXA-26/PgnJ,BXA26_3,M,0.0452,0.0766,0.0560
BXA-26/PgnJ,BXA26_7,M,0.0463,0.0723,0.0515
BXA-26/PgnJ,BXA26_2,M,0.0485,0.0720,0.0561
BXA-26/PgnJ,BXA26_4,M,0.0449,0.0677,0.0519
BXA-26/PgnJ,BXA26_6,M,0.0444,0.0693,0.0515
BXA-26/PgnJ,BXA26_5,M,0.0387,0.0577,0.0442
BXA-26/PgnJ,BXA26_8,M,0.0436,0.0664,0.0490
BXA-4/PgnJ,BXA4_4,M,0.0513,0.0907,0.0600
BXA-4/PgnJ,BXA4_8,M,0.0477,0.0875,0.0585
BXA-4/PgnJ,BXA4_3,M,0.0472,0.0870,0.0591
BXA-4/PgnJ,BXA4_2,M,0.0430,0.0779,0.0606
BXA-4/PgnJ,BXA4_6,M,0.0460,0.0776,0.0542
BXA-4/PgnJ,BXA4_1,M,0.0468,0.0785,0.0643
BXA-4/PgnJ,BXA4_7,M,0.0451,0.0684,0.0504
BXA-4/PgnJ,BXA4_5,M,0.0464,0.0731,0.0557
BXA-7/PgnJ,BXA7_4,M,0.0468,0.0880,0.0575
BXA-7/PgnJ,BXA7_2,M,0.0465,0.0775,0.0532
BXA-7/PgnJ,BXA7_6,M,0.0461,0.0795,0.0517
BXA-7/PgnJ,BXA7_7,M,0.0477,0.0811,0.0549
BXA-7/PgnJ,BXA7_3,M,0.0457,0.0761,0.0529
BXA-7/PgnJ,BXA7_8,M,0.0455,0.0686,0.0582
BXA-7/PgnJ,BXA7_5,M,0.0458,0.0743,0.0566
BXA-7/PgnJ,BXA7_1,M,0.0432,0.0629,0.0548
BXA-8/PgnJ,BXA8_1,M,0.0474,0.0789,0.0553
BXA-8/PgnJ,BXA8_7,M,0.0470,0.0685,0.0552
BXA-8/PgnJ,BXA8_6,M,0.0421,0.0646,0.0432
BXA-8/PgnJ,BXA8_8,M,0.0444,0.0676,0.0479
BXA-8/PgnJ,BXA8_2,M,0.0398,0.0628,0.0498
BXA-8/PgnJ,BXA8_4,M,0.0389,0.0647,0.0512
BXA-8/PgnJ,BXA8_5,M,0.0443,0.0622,0.0524
BXD-1/TyJ,BXD1_3,M,0.0549,NA,0.0627
BXD-1/TyJ,BXD1_4,M,0.0531,NA,0.0625
BXD-1/TyJ,BXD1_7,M,0.0507,0.0924,0.0587
BXD-1/TyJ,BXD1_8,M,0.0502,0.0817,0.0555
BXD-1/TyJ,BXD1_5,M,0.0512,0.0791,0.0590
BXD-1/TyJ,BXD1_6,M,0.0460,0.0799,0.0499
BXD-1/TyJ,BXD1_1,M,0.0477,0.0767,0.0537
BXD-11/TyJ,BXD11_1,M,0.0531,NA,0.0682
BXD-11/TyJ,BXD11_2,M,0.0504,0.0903,0.0625
BXD-11/TyJ,BXD11_3,M,0.0476,0.0869,0.0554
BXD-11/TyJ,BXD11_4,M,0.0534,0.0750,0.0567
BXD-11/TyJ,BXD11_5,M,0.0504,0.0823,0.0578
BXD-12/TyJ,BXD12_7,M,0.0527,0.0988,0.0672
BXD-12/TyJ,BXD12_4,M,0.0543,0.0936,0.0764
BXD-12/TyJ,BXD12_8,M,0.0528,0.0942,0.0676
BXD-12/TyJ,BXD12_3,M,0.0491,0.0933,0.0707
BXD-12/TyJ,BXD12_6,M,0.0531,0.0841,0.0651
BXD-12/TyJ,BXD12_2,M,0.0463,0.0841,0.0652
BXD-12/TyJ,BXD12_1,M,0.0515,0.0818,0.0631
BXD-12/TyJ,BXD12_5,M,0.0507,0.0833,0.0615
BXD-13/TyJ,BXD13_4,M,0.0483,0.1016,0.0605
BXD-13/TyJ,BXD13_2,M,0.0509,0.0990,0.0623
BXD-13/TyJ,BXD13_3,M,0.0483,0.0878,0.0585
BXD-13/TyJ,BXD13_1,M,0.0512,0.0861,0.0648
BXD-14/TyJ,BXD14_6,M,0.0498,0.0922,0.0569
BXD-14/TyJ,BXD14_8,M,0.0494,0.0871,0.0616
BXD-14/TyJ,BXD14_5,M,0.0495,0.0860,0.0578
BXD-14/TyJ,BXD14_3,M,0.0453,0.0808,0.0548
BXD-14/TyJ,BXD14_7,M,0.0469,0.0810,0.0569
BXD-14/TyJ,BXD14_4,M,0.0481,0.0847,0.0616
BXD-14/TyJ,BXD14_2,M,0.0541,0.0925,NA
BXD-14/TyJ,BXD14_1,M,0.0523,0.0824,0.0676
BXD-15/TyJ,BXD15_6,M,0.0532,0.0882,0.0575
BXD-15/TyJ,BXD15_5,M,0.0496,0.0858,0.0568
BXD-15/TyJ,BXD15_2,M,0.0445,0.0847,0.0581
BXD-15/TyJ,BXD15_3,M,0.0470,0.0811,0.0562
BXD-15/TyJ,BXD15_1,M,0.0501,0.0829,0.0648
BXD-15/TyJ,BXD15_4,M,0.0502,0.0784,0.0550
BXD-16/TyJ,BXD16_2,M,0.0455,0.0896,0.0569
BXD-16/TyJ,BXD16_3,M,0.0497,0.0840,0.0614
BXD-16/TyJ,BXD16_4,M,0.0468,0.0833,0.0579
BXD-16/TyJ,BXD16_1,M,0.0470,0.0804,0.0628
BXD-18/TyJ,BXD18_4,M,0.0514,0.0851,0.0590
BXD-18/TyJ,BXD18_2,M,0.0527,0.0820,0.0580
BXD-18/TyJ,BXD18_3,M,0.0489,0.0828,0.0519
BXD-18/TyJ,BXD18_1,M,0.0459,0.0789,0.0551
BXD-18/TyJ,BXD18_5,M,0.0500,0.0731,0.0545
BXD-19/TyJ,BXD19_3,M,0.0449,0.0793,0.0581
BXD-19/TyJ,BXD19_7,M,0.0451,0.0769,0.0507
BXD-19/TyJ,BXD19_6,M,0.0484,0.0808,0.0548
BXD-19/TyJ,BXD19_4,M,0.0478,0.0741,0.0508
BXD-19/TyJ,BXD19_1,M,0.0443,0.0737,0.0604
BXD-19/TyJ,BXD19_2,M,0.0414,0.0702,0.0557
BXD-19/TyJ,BXD19_5,M,0.0487,0.0766,0.0515
BXD-2/TyJ,BXD2_1,M,0.0454,NA,0.0533
BXD-2/TyJ,BXD2_3,M,0.0493,0.0876,0.0615
BXD-2/TyJ,BXD2_5,M,0.0480,0.0869,0.0580
BXD-2/TyJ,BXD2_6,M,0.0495,0.0860,0.0609
BXD-2/TyJ,BXD2_4,M,0.0474,0.0826,0.0574
BXD-2/TyJ,BXD2_2,M,0.0431,0.0716,0.0633
BXD-2/TyJ,BXA2_8,M,0.0432,0.0707,0.0469
BXD-20/TyJ,BXD20_7,M,0.0508,0.0855,0.0583
BXD-20/TyJ,BXD20_8,M,0.0486,0.0834,0.0602
BXD-20/TyJ,BXD20_3,M,0.0479,0.0825,0.0535
BXD-20/TyJ,BXD20_4,M,0.0490,0.0826,0.0588
BXD-20/TyJ,BXD20_5,M,0.0491,0.0801,0.0574
BXD-20/TyJ,BXD20_2,M,0.0463,0.0799,0.0558
BXD-20/TyJ,BXD20_6,M,0.0473,0.0787,0.0490
BXD-20/TyJ,BXD20_1,M,0.0481,0.0761,0.0615
BXD-21/TyJ,BXD21_1,M,0.0472,0.0831,0.0518
BXD-21/TyJ,BXD21_6,M,0.0423,0.0742,0.0480
BXD-21/TyJ,BXD21_2,M,0.0407,0.0653,0.0475
BXD-21/TyJ,BXD21_5,M,0.0431,0.0660,0.0508
BXD-21/TyJ,BXD21_3,M,0.0396,0.0666,0.0471
BXD-21/TyJ,BXD21_4,M,0.0444,0.0608,0.0524
BXD-24/TyJ,BXD24a_4,M,0.0467,0.0904,0.0600
BXD-24/TyJ,BXD24a_5,M,0.0474,0.0759,0.0537
BXD-24/TyJ,BXD24b_5,M,0.0496,0.0874,0.0524
BXD-24/TyJ,BXD24a_2,M,0.0417,0.0826,0.0607
BXD-24/TyJ,BXD24a_1,M,0.0436,0.0796,0.0712
BXD-24/TyJ,BXD24b_1,M,0.0469,0.0800,0.0638
BXD-24/TyJ,BXD24b_6,M,0.0481,0.0801,0.0494
BXD-24/TyJ,BXD24b_8,M,0.0483,0.0763,0.0596
BXD-24/TyJ,BXD24b_4,M,0.0459,0.0729,0.0547
BXD-24/TyJ,BXD24a_7,M,0.0486,0.0699,0.0530
BXD-24/TyJ,BXD24b_3,M,0.0452,0.0661,0.0640
BXD-24/TyJ,BXD24b_2,M,0.0422,0.0694,0.0546
BXD-24/TyJ,BXD24b_7,M,0.0490,0.0726,0.0547
BXD-24/TyJ,BXD24a_8,M,0.0464,0.0685,0.0537
BXD-24/TyJ,BXD24a_6,M,0.0500,0.0694,0.0555
BXD-24/TyJ,BXD24a_3,M,0.0430,0.0736,0.0553
BXD-27/TyJ,BXD27_5,M,0.0507,0.0908,0.0563
BXD-27/TyJ,BXD27_3,M,0.0439,0.0791,0.0627
BXD-27/TyJ,BXD27_4,M,0.0439,0.0802,0.0569
BXD-27/TyJ,BXD27_1,M,0.0459,0.0716,0.0620
BXD-27/TyJ,BXD27_7,M,0.0474,0.0844,0.0580
BXD-27/TyJ,BXD27_2,M,0.0436,0.0675,0.0520
BXD-27/TyJ,BXD27_6,M,0.0504,0.0692,0.0568
BXD-28/TyJ,BXD28_1,M,0.0510,0.0949,0.0625
BXD-28/TyJ,BXD28_2,M,0.0492,0.0867,0.0586
BXD-28/TyJ,BXD28_3,M,0.0508,0.0826,0.0592
BXD-28/TyJ,BXD28_4,M,0.0491,0.0773,0.0581
BXD-29/TyJ,BXD29_1,M,0.0417,0.0767,0.0489
BXD-29/TyJ,BXD29_2,M,0.0377,0.0676,0.0490
BXD-29/TyJ,BXD29_3,M,0.0410,0.0668,0.0466
BXD-29/TyJ,BXD29_7,M,0.0440,0.0671,0.0442
BXD-29/TyJ,BXD29_6,M,0.0469,0.0717,0.0495
BXD-29/TyJ,BXD29_5,M,0.0434,0.0683,0.0516
BXD-31/TyJ,BXD31_4,M,0.0484,0.0871,0.0589
BXD-31/TyJ,BXD31_2,M,0.0482,0.0874,0.0630
BXD-31/TyJ,BXD31_1,M,0.0472,0.0869,0.0614
BXD-31/TyJ,BXD31_3,M,0.0493,0.0830,0.0654
BXD-32/TyJ,BXD32_3,M,0.0473,0.0960,0.0645
BXD-32/TyJ,BXD32_5,M,0.0503,0.0858,0.0612
BXD-32/TyJ,BXD32_1,M,0.0507,0.0801,0.0649
BXD-32/TyJ,BXD32_4,M,0.0463,0.0802,0.0590
BXD-32/TyJ,BXD32_2,M,0.0457,0.0822,0.0613
BXD-32/TyJ,BXD32_6,M,0.0494,0.0781,0.0570
BXD-32/TyJ,BXD32_7,M,0.0485,0.0749,0.0564
BXD-32/TyJ,BXD32_8,M,0.0486,0.0726,0.0587
BXD-33/TyJ,BXD33_6,M,0.0495,0.0895,0.0569
BXD-33/TyJ,BXD33_5,M,0.0503,0.0848,0.0664
BXD-33/TyJ,BXD33_2,M,0.0448,0.0857,0.0551
BXD-33/TyJ,BXD33_1,M,0.0429,0.0791,0.0510
BXD-33/TyJ,BXD33_8,M,0.0454,0.0755,0.0564
BXD-33/TyJ,BXD33_7,M,0.0463,0.0775,0.0526
BXD-33/TyJ,BXD33_3,M,0.0421,0.0655,0.0474
BXD-33/TyJ,BXD33_4,M,0.0401,0.0657,0.0497
BXD-34/TyJ,BXD34_7,M,0.0548,0.0801,0.0638
