Authors,Title,Year,Source title,Page start,Page end,Cited by
"Gray, J.C., Goddard, M.R.",Gene-flow between niches facilitates local adaptation in sexual populations,2012,Ecology Letters,955,962,12
"Kamel, S.J., Grosberg, R.K.",Exclusive male care despite extreme female promiscuity and low paternity in a marine snail,2012,Ecology Letters,1167,1173,12
"Albert, E.M., Fortuna, M.A., Godoy, J.A., Bascompte, J.",Assessing the robustness of networks of spatial genetic variation,2013,Ecology Letters,86,93,12
"Decaestecker, E., De Gersem, H., Michalakis, Y., Raeymaekers, J.A.M.",Damped long-term host-parasite Red Queen coevolutionary dynamics: A reflection of dilution effects?,2013,Ecology Letters,1455,1462,12
"Laskowski, K.L., Bell, A.M.",Competition avoidance drives individual differences in response to a changing food resource in sticklebacks,2013,Ecology Letters,746,753,12
"Martin, T.E., Ton, R., Niklison, A.",Intrinsic vs. extrinsic influences on life history expression: Metabolism and parentally induced temperature influences on embryo development rate,2013,Ecology Letters,738,745,12
"Nevoux, M., Arlt, D., Nicoll, M., Jones, C., Norris, K.",The short- and long-term fitness consequences of natal dispersal in a wild bird population,2013,Ecology Letters,438,445,12
"Okamoto, K.W., Grether, G.F.",The evolution of species recognition in competitive and mating contexts: The relative efficacy of alternative mechanisms of character displacement,2013,Ecology Letters,670,678,12
"Segar, S.T., Pereira, R.A.S., Compton, S.G., Cook, J.M.",Convergent structure of multitrophic communities over three continents,2013,Ecology Letters,1436,1445,12
"Vanhoenacker, D., Ågren, J., Ehrlén, J.",Non-linear relationship between intensity of plant-animal interactions and selection strength,2013,Ecology Letters,198,205,12
"Wilder, S.M., Norris, M., Lee, R.W., Raubenheimer, D., Simpson, S.J.",Arthropod food webs become increasingly lipid-limited at higher trophic levels,2013,Ecology Letters,895,902,12
"Bidart-Bouzat, M.G., Portnoy, S., DeLucia, E.H., Paige, K.N.",Elevated CO2 and herbivory influence trait integration in Arabidopsis thaliana,2004,Ecology Letters,837,847,13
"Olsson, M., Ujvari, B., Madsen, T., Uller, T., Wapstra, E.",Haldane rules: Costs of outbreeding at production of daughters in sand lizards,2004,Ecology Letters,924,928,13
"Benedetti-Cecchi, L.",Unanticipated impacts of spatial variance of biodiversity on plant productivity,2005,Ecology Letters,791,799,13
"Fryxell, J.M., Lynn, D.H., Chris, P.J.",Harvest reserves reduce extinction risk in an experimental microcosm,2006,Ecology Letters,1025,1031,13
"Bradford, M.A., Wallenstein, M.D., Allison, S.D., Treseder, K.K., Frey, S.D., Watts, B.W., Davies, C.A., Maddox, T.R., Melillo, J.M., Mohan, J.E., Reynolds, J.F.",Decreased mass specific respiration under experimental warming is robust to the microbial biomass method employed,2009,Ecology Letters,,,13
"Cornulier, T., Elston, D.A., Arcese, P., Benton, T.G., Douglas, D.J.T., Lambin, X., Reid, J., Robinson, R.A., Sutherland, W.J.",Estimating the annual number of breeding attempts from breeding dates using mixture models,2009,Ecology Letters,1184,1193,13
"Matser, A., Hartemink, N., Heesterbeek, H., Galvani, A., Davis, S.",Elasticity analysis in epidemiology: An application to tick-borne infections,2009,Ecology Letters,1298,1305,13
"White, J., Mirleau, P., Danchin, E., Mulard, H., Hatch, S.A., Heeb, P., Wagner, R.H.",Sexually transmitted bacteria affect female cloacal assemblages in a wild bird,2010,Ecology Letters,1515,1524,13
"Fründ, J., Dormann, C.F., Tscharntke, T.",Linné's floral clock is slow without pollinators - flower closure and plant-pollinator interaction webs,2011,Ecology Letters,896,904,13
"Katsuki, M., Harano, T., Miyatake, T., Okada, K., Hosken, D.J.",Intralocus sexual conflict and offspring sex ratio,2012,Ecology Letters,193,197,13
