Authors,Title,Year,Source title,Page start,Page end,Cited by
"Karp, D.S., Mendenhall, C.D., Sandí, R.F., Chaumont, N., Ehrlich, P.R., Hadly, E.A., Daily, G.C.","Forest bolsters bird abundance, pest control and coffee yield",2013,Ecology Letters,1339,1347,48
"Yan, N.D., Girard, R., Heneberry, J.H., Keller, W.B., Gunn, J.M., Dillon, P.J.","Recovery of copepod, but not cladoceran, zooplankton from severe and chronic effects of multiple stressors",2004,Ecology Letters,452,460,49
"Weigelt, A., Schumacher, J., Roscher, C., Schmid, B.",Does biodiversity increase spatial stability in plant community biomass?,2008,Ecology Letters,338,347,49
"Staddon, P., Lindo, Z., Crittenden, P.D., Gilbert, F., Gonzalez, A.","Connectivity, non-random extinction and ecosystem function in experimental metacommunities",2010,Ecology Letters,543,552,49
"Becks, L., Ellner, S.P., Jones, L.E., Hairston Jr., N.G.","The functional genomics of an eco-evolutionary feedback loop: Linking gene expression, trait evolution, and community dynamics",2012,Ecology Letters,492,501,49
"Koch, H., Schmid-Hempel, P.",Gut microbiota instead of host genotype drive the specificity in the interaction of a natural host-parasite system,2012,Ecology Letters,1095,1103,49
"Myers, J.A., Chase, J.M., Jiménez, I., Jørgensen, P.M., Araujo-Murakami, A., Paniagua-Zambrana, N., Seidel, R.",Beta-diversity in temperate and tropical forests reflects dissimilar mechanisms of community assembly,2013,Ecology Letters,151,157,49
"Pigot, A.L., Tobias, J.A.",Species interactions constrain geographic range expansion over evolutionary time,2013,Ecology Letters,330,338,49
"Garamszegi, L.Z., Eens, M.",The evolution of hippocampus volume and brain size in relation to food hoarding in birds,2004,Ecology Letters,1216,1224,50
"Lusseau, D., Williams, R., Wilson, B., Grellier, K., Barton, T.R., Hammond, P.S., Thompson, P.M.",Parallel influence of climate on the behaviour of Pacific killer whales and Atlantic bottlenose dolphins,2004,Ecology Letters,1068,1076,50
"Weitz, J.S., Levin, S.A.",Size and scaling of predator-prey dynamics,2006,Ecology Letters,548,557,50
"Stouffer, D.B., Bascompte, J.",Understanding food-web persistence from local to global scales,2010,Ecology Letters,154,161,50
"Ehnes, R.B., Rall, B.C., Brose, U.","Phylogenetic grouping, curvature and metabolic scaling in terrestrial invertebrates",2011,Ecology Letters,993,1000,50
"Michalet, R., Xiao, S., Touzard, B., Smith, D.S., Cavieres, L.A., Callaway, R.M., Whitham, T.G.",Phenotypic variation in nurse traits and community feedbacks define an alpine community,2011,Ecology Letters,433,443,50
"Zak, D.R., Pregitzer, K.S., Kubiske, M.E., Burton, A.J.",Forest productivity under elevated CO2 and O3: Positive feedbacks to soil N cycling sustain decade-long net primary productivity enhancement by CO2,2011,Ecology Letters,1220,1226,50
"Diez, J.M., Ibáñez, I., Miller-Rushing, A.J., Mazer, S.J., Crimmins, T.M., Crimmins, M.A., Bertelsen, C.D., Inouye, D.W.",Forecasting phenology: From species variability to community patterns,2012,Ecology Letters,545,553,50
"Mcadam, S.A.M., Brodribb, T.J.",Stomatal innovation and the rise of seed plants,2012,Ecology Letters,1,8,50
"Humphries, M.M., Boutin, S., Thomas, D.W., Ryan, J.D., Selman, C., McAdam, A.G., Berteaux, D., Speakman, J.R.",Expenditure freeze: The metabolic response of small mammals to cold environments,2005,Ecology Letters,1326,1333,51
"Kerkhoff, A.J., Enquist, B.J.",Ecosystem allometry: The scaling of nutrient stocks and primary productivity across plant communities,2006,Ecology Letters,419,427,51
"Kylafis, G., Loreau, M.",Ecological and evolutionary consequences of niche construction for its agent,2008,Ecology Letters,1072,1081,51
"Reber, A., Castella, G., Christe, P., Chapuisat, M.",Experimentally increased group diversity improves disease resistance in an ant species,2008,Ecology Letters,682,689,51
"Jabot, F., Chave, J.",Inferring the parameters of the neutral theory of biodiversity using phylogenetic information and implications for tropical forests,2009,Ecology Letters,239,248,51
"Bridle, J.R., Polechová, J., Kawata, M., Butlin, R.K.",Why is adaptation prevented at ecological margins? New insights from individual-based simulations,2010,Ecology Letters,485,494,51
"Kerby, J.L., Richards-Hrdlicka, K.L., Storfer, A., Skelly, D.K.",An examination of amphibian sensitivity to environmental contaminants: Are amphibians poor canaries?,2010,Ecology Letters,60,67,51
"Vamosi, J.C., Vamosi, S.M.",Key innovations within a geographical context in flowering plants: Towards resolving Darwin's abominable mystery,2010,Ecology Letters,1270,1279,51
"Mccain, C.M., Colwell, R.K.",Assessing the threat to montane biodiversity from discordant shifts in temperature and precipitation in a changing climate,2011,Ecology Letters,1236,1245,51
"Price, S.A., Holzman, R., Near, T.J., Wainwright, P.C.",Coral reefs promote the evolution of morphological diversity and ecological novelty in labrid fishes,2011,Ecology Letters,462,469,51
"Cebrian, J.",Role of first-order consumers in ecosystem carbon flow,2004,Ecology Letters,232,240,52
"Fagan, W.F., Denno, R.F.",Stoichiometry of actual vs. potential predator-prey interactions: Insights into nitrogen limitation for arthropod predators,2004,Ecology Letters,876,883,52
"Van Woesik, R., Lacharmoise, F., Köksal, S.",Annual cycles of solar insolation predict spawning times of Caribbean corals,2006,Ecology Letters,390,398,52
"Johnson, P.T.J., Hartson, R.B., Larson, D.J., Sutherland, D.R.",Diversity and disease: Community structure drives parasite transmission and host fitness,2008,Ecology Letters,1017,1026,52
"Shurin, J.B., Winder, M., Adrian, R., Keller, W.B., Matthews, B., Paterson, A.M., Paterson, M.J., Pinel-Alloul, B., Rusak, J.A., Yan, N.D.",Environmental stability and lake zooplankton diversity - contrasting effects of chemical and thermal variability,2010,Ecology Letters,453,463,52
"Travers, M., Clinchy, M., Zanette, L., Boonstra, R., Williams, T.D.",Indirect predator effects on clutch size and the cost of egg production,2010,Ecology Letters,980,988,52
"Abrams, P.A., Wilson, W.G.",Coexistence of competitors in metacommunities due to spatial variation in resource growth rates; does R* predict the outcome of competition?,2004,Ecology Letters,929,940,53
"Clark, D.B., Castro, C.S., Alvarado, L.D.A., Read, J.M.",Quantifying mortality of tropical rain forest trees using high-spatial-resolution satellite data,2004,Ecology Letters,52,59,53
"Yurkonis, K.A., Meiners, S.J.",Invasion impacts local species turnover in a successional system,2004,Ecology Letters,764,769,53
"Borrvall, C., Ebenman, B.",Early onset of secondary extinctions in ecological communities following the loss of top predators,2006,Ecology Letters,435,442,53
"Matthiessen, B., Hillebrand, H.",Dispersal frequency affects local biomass production by controlling local diversity,2006,Ecology Letters,652,662,53
"Grand, J., Cummings, M.P., Rebelo, T.G., Ricketts, T.H., Neel, M.C.",Biased data reduce efficiency and effectiveness of conservation reserve networks,2007,Ecology Letters,364,374,53
"Mercer, K.L., Andow, D.A., Wyse, D.L., Shaw, R.G.",Stress and domestication traits increase the relative fitness of crop-wild hybrids in sunflower,2007,Ecology Letters,383,393,53
"Staniczenko, P.P.A., Lewis, O.T., Jones, N.S., Reed-Tsochas, F.",Structural dynamics and robustness of food webs,2010,Ecology Letters,891,899,53
"Wallach, A.D., Johnson, C.N., Ritchie, E.G., O'Neill, A.J.",Predator control promotes invasive dominated ecological states,2010,Ecology Letters,1008,1018,53
"Chapman, B.B., Hulthén, K., Blomqvist, D.R., Hansson, L.-A., Nilsson, J.-Å., Brodersen, J., Anders Nilsson, P., Skov, C., Brönmark, C.",To boldly go: Individual differences in boldness influence migratory tendency,2011,Ecology Letters,871,876,53
"Butterfield, B.J., Cavieres, L.A., Callaway, R.M., Cook, B.J., Kikvidze, Z., Lortie, C.J., Michalet, R., Pugnaire, F.I., Schöb, C., Xiao, S., Zaitchek, B., Anthelme, F., Björk, R.G., Dickinson, K., Gavilán, R., Kanka, R., Maalouf, J..-P., Noroozi, J., Parajuli, R., Phoenix, G.K., Reid, A., Ridenour, W., Rixen, C., Wipf, S., Zhao, L., Brooker, R.W.",Alpine cushion plants inhibit the loss of phylogenetic diversity in severe environments,2013,Ecology Letters,478,486,53
"Parmesan, C., Burrows, M.T., Duarte, C.M., Poloczanska, E.S., Richardson, A.J., Schoeman, D.S., Singer, M.C.",Beyond climate change attribution in conservation and ecological research,2013,Ecology Letters,58,71,53
"Salkeld, D.J., Padgett, K.A., Jones, J.H.",A meta-analysis suggesting that the relationship between biodiversity and risk of zoonotic pathogen transmission is idiosyncratic,2013,Ecology Letters,679,686,53
"Gerber, L.R., Beger, M., McCarthy, M.A., Possingham, H.P.",A theory for optimal monitoring of marine reserves,2005,Ecology Letters,829,837,54
"Iason, G.R., Lennon, J.J., Pakeman, R.J., Thoss, V., Beaton, J.K., Sim, D.A., Elston, D.A.",Does chemical composition of individual Scots pine trees determine the biodiversity of their associated ground vegetation?,2005,Ecology Letters,364,369,54
"Ferrière, R., Gauduchon, M., Bronstein, J.L.",Evolution and persistence of obligate mutualists and exploiters: Competition for partners and evolutionary immunization,2007,Ecology Letters,115,126,54
"Altermatt, F., Ebert, D.",Genetic diversity of Daphnia magna populations enhances resistance to parasites,2008,Ecology Letters,918,928,54
"Vergnon, R., Dulvy, N.K., Freckleton, R.P.",Niches versus neutrality: Uncovering the drivers of diversity in a species-rich community,2009,Ecology Letters,1079,1090,54
"Cox, F., Barsoum, N., Lilleskov, E.A., Bidartondo, M.I.",Nitrogen availability is a primary determinant of conifer mycorrhizas across complex environmental gradients,2010,Ecology Letters,1103,1113,54
"Hol, W.H.G., de Boer, W., Termorshuizen, A.J., Meyer, K.M., Schneider, J.H.M., van Dam, N.M., van Veen, J.A., van der Putten, W.H.",Reduction of rare soil microbes modifies plant-herbivore interactions,2010,Ecology Letters,292,301,54
"Schaefer, H., Hardy, O.J., Silva, L., Barraclough, T.G., Savolainen, V.",Testing Darwin's naturalization hypothesis in the Azores,2011,Ecology Letters,389,396,54
"Robert, C.A.M., Veyrat, N., Glauser, G., Marti, G., Doyen, G.R., Villard, N., Gaillard, M.D.P., Köllner, T.G., Giron, D., Body, M., Babst, B.A., Ferrieri, R.A., Turlings, T.C.J., Erb, M.",A specialist root herbivore exploits defensive metabolites to locate nutritious tissues,2012,Ecology Letters,55,64,54
"Alizon, S., de Roode, J.C., Michalakis, Y.",Multiple infections and the evolution of virulence,2013,Ecology Letters,556,567,54
"Marañón, E., Cermeño, P., López-Sandoval, D.C., Rodríguez-Ramos, T., Sobrino, C., Huete-Ortega, M., Blanco, J.M., Rodríguez, J.",Unimodal size scaling of phytoplankton growth and the size dependence of nutrient uptake and use,2013,Ecology Letters,371,379,54
"Oro, D., Genovart, M., Tavecchia, G., Fowler, M.S., Martínez-Abraín, A.",Ecological and evolutionary implications of food subsidies from humans,2013,Ecology Letters,1501,1514,54
"Litzow, M.A., Ciannelli, L.",Oscillating trophic control induces community reorganization in a marine ecosystem,2007,Ecology Letters,1124,1134,55
"Barton, B.T., Schmitz, O.J.",Experimental warming transforms multiple predator effects in a grassland food web,2009,Ecology Letters,1317,1325,55
"Crone, E.E., Miller, E., Sala, A.","How do plants know when other plants are flowering? Resource depletion, pollen limitation and mast-seeding in a perennial wildflower",2009,Ecology Letters,1119,1126,55
"Farnon Ellwood, M.D., Manica, A., Foster, W.A.",Stochastic and deterministic processes jointly structure tropical arthropod communities,2009,Ecology Letters,277,284,55
"Hall, S.R., Knight, C.J., Becker, C.R., Duffy, M.A., Tessier, A.J., Cáceres, C.E.",Quality matters: Resource quality for hosts and the timing of epidemics,2009,Ecology Letters,118,128,55
"Rozen, D.E., Philippe, N., Arjan De Visser, J., Lenski, R.E., Schneider, D.",Death and cannibalism in a seasonal environment facilitate bacterial coexistence,2009,Ecology Letters,34,44,55
"McHugh, P.A., McIntosh, A.R., Jellyman, P.G.",Dual influences of ecosystem size and disturbance on food chain length in streams,2010,Ecology Letters,881,890,55
"Karp, D.S., Rominger, A.J., Zook, J., Ranganathan, J., Ehrlich, P.R., Daily, G.C.",Intensive agriculture erodes β-diversity at large scales,2012,Ecology Letters,963,970,55
"Kokko, H., Klug, H., Jennions, M.D.","Unifying cornerstones of sexual selection: Operational sex ratio, Bateman gradient and the scope for competitive investment",2012,Ecology Letters,1340,1351,55
"Johnson, D.M., Bjørnstad, O.N., Liebhold, A.M.",Landscape geometry and travelling waves in the larch budmoth,2004,Ecology Letters,967,974,56
"Saxon, E., Baker, B., Hargrove, W., Hoffman, F., Zganjar, C.",Mapping environments at risk under different global climate change scenarios,2005,Ecology Letters,53,60,56
"Manning, P., Newington, J.E., Robson, H.R., Saunders, M., Eggers, T., Bradford, M.A., Bardgett, R.D., Bonkowski, M., Ellis, R.J., Gange, A.C., Grayston, S.J., Kandeler, E., Marhan, S., Reid, E., Tscherko, D., Godfray, H.C.J., Rees, M.",Decoupling the direct and indirect effects of nitrogen deposition on ecosystem function,2006,Ecology Letters,1015,1024,56
"Day, T., Gandon, S.",Applying population-genetic models in theoretical evolutionary epidemiology,2007,Ecology Letters,876,888,56
"Kurvers, R.H.J.M., van Oers, K., Nolet, B.A., Jonker, R.M., van Wieren, S.E., Prins, H.H.T., Ydenberg, R.C.",Personality predicts the use of social information,2010,Ecology Letters,829,837,56
"Luijckx, P., Ben-Ami, F., Mouton, L., Du Pasquier, L., Ebert, D.",Cloning of the unculturable parasite Pasteuria ramosa and its Daphnia host reveals extreme genotype-genotype interactions,2011,Ecology Letters,125,131,56
"Sheldon, K.S., Yang, S., Tewksbury, J.J.",Climate change and community disassembly: Impacts of warming on tropical and temperate montane community structure,2011,Ecology Letters,1191,1200,56
"Packer, C., Loveridge, A., Canney, S., Caro, T., Garnett, S.T., Pfeifer, M., Zander, K.K., Swanson, A., MacNulty, D., Balme, G., Bauer, H., Begg, C.M., Begg, K.S., Bhalla, S., Bissett, C., Bodasing, T., Brink, H., Burger, A., Burton, A.C., Clegg, B., Dell, S., Delsink, A., Dickerson, T., Dloniak, S.M., Druce, D., Frank, L., Funston, P., Gichohi, N., Groom, R., Hanekom, C., Heath, B., Hunter, L., Deiongh, H.H., Joubert, C.J., Kasiki, S.M., Kissui, B., Knocker, W., Leathem, B., Lindsey, P.A., MacLennan, S.D., McNutt, J.W., Miller, S.M., Naylor, S., Nel, P., Ng'weno, C., Nicholls, K., Ogutu, J.O., Okot-Omoya, E., Patterson, B.D., Plumptre, A., Salerno, J., Skinner, K., Slotow, R., Sogbohossou, E.A., Stratford, K.J., Winterbach, C., Winterbach, H., Polasky, S.",Conserving large carnivores: Dollars and fence,2013,Ecology Letters,635,641,56
"Rybicki, J., Hanski, I.",Species-area relationships and extinctions caused by habitat loss and fragmentation,2013,Ecology Letters,27,38,56
"Yachi, S., Loreau, M.",Does complementary resource use enhance ecosystem functioning? A model of light competition in plant communities,2007,Ecology Letters,54,62,57
"Chun, Y.J., van Kleunen, M., Dawson, W.","The role of enemy release, tolerance and resistance in plant invasions: Linking damage to performance",2010,Ecology Letters,937,946,57
"Loladze, I., Elser, J.J.",The origins of the Redfield nitrogen-to-phosphorus ratio are in a homoeostatic protein-to-rRNA ratio,2011,Ecology Letters,244,250,57
"Seebens, H., Gastner, M.T., Blasius, B.",The risk of marine bioinvasion caused by global shipping,2013,Ecology Letters,782,790,57
"Sorte, C.J.B., Ibáñez, I., Blumenthal, D.M., Molinari, N.A., Miller, L.P., Grosholz, E.D., Diez, J.M., D'Antonio, C.M., Olden, J.D., Jones, S.J., Dukes, J.S.",Poised to prosper? A cross-system comparison of climate change effects on native and non-native species performance,2013,Ecology Letters,261,270,57
"Dijkstra, F.A., Hobbie, S.E., Knops, J.M.H., Reich, P.B.",Nitrogen deposition and plant species interact to influence soil carbon stabilization,2004,Ecology Letters,1192,1198,58
"Male, T.D., Bean, M.J.",Measuring progress in US endangered species conservation,2005,Ecology Letters,986,992,58
"Mulder, C., Cohen, J.E., Setälä, H., Bloem, J., Breure, A.M.","Bacterial traits, organism mass, and numerical abundance in the detrital soil food web of Dutch aqricultural grasslands",2005,Ecology Letters,80,90,58
"Storch, D., Evans, K.L., Gaston, K.J.",The species-area-energy relationship,2005,Ecology Letters,487,492,58
"Dijkstra, P., Laviolette, C.M., Coyle, J.S., Doucett, R.R., Schwartz, E., Hart, S.C., Hungate, B.A.",15N enrichment as an integrator of the effects of C and N on microbial metabolism and ecosystem function,2008,Ecology Letters,389,397,58
"Loiseau, C., Zoorob, R., Garnier, S., Birard, J., Federici, P., Julliard, R., Sorci, G.",Antagonistic effects of a Mhc class I allele on malaria-infected house sparrows,2008,Ecology Letters,258,265,58
"Smilanich, A.M., Dyer, L.A., Chambers, J.Q., Bowers, M.D.",Immunological cost of chemical defence and the evolution of herbivore diet breadth,2009,Ecology Letters,612,621,58
"Fukami, T., Nakajima, M.",Community assembly: Alternative stable states or alternative transient states?,2011,Ecology Letters,973,984,58
"Jousset, A., Schmid, B., Scheu, S., Eisenhauer, N.",Genotypic richness and dissimilarity opposingly affect ecosystem functioning,2011,Ecology Letters,537,545,58
"Cleland, E.E., Smith, M.D., Andelman, S.J., Bowles, C., Carney, K.M., Horner-Devine, M.C., Drake, J.M., Emery, S.M., Gramling, J.M., Vandermast, D.B.",Invasion in space and time: Non-native species richness and relative abundance respond to interannual variation in productivity and diversity,2004,Ecology Letters,947,957,59
"Šizling, A.L., Storch, D.",Power-law species-area relationships and self-similar species distributions within finite areas,2004,Ecology Letters,60,68,59
"Pujol, B., David, P., McKey, D.","Microevolution in agricultural environments: How a traditional Amerindian farming practice favours heterozygosity in cassava (Manihot esculenta Crantz, Euphorbiaceae)",2005,Ecology Letters,138,147,59
"Gegear, R.J., Manson, J.S., Thomson, J.D.",Ecological context influences pollinator deterrence by alkaloids in floral nectar,2007,Ecology Letters,375,382,59
"Clark, D.B., Olivas, P.C., Oberbauer, S.F., Clark, D.A., Ryan, M.G.","First direct landscape-scale measurement of tropical rain forest Leaf Area Index, a key driver of global primary productivity",2008,Ecology Letters,163,172,59
"Rudgers, J.A., Clay, K.",An invasive plant-fungal mutualism reduces arthropod diversity,2008,Ecology Letters,831,840,59
"Diez, J.M., Williams, P.A., Randall, R.P., Sullivan, J.J., Hulme, P.E., Duncan, R.P.",Learning from failures: Testing broad taxonomic hypotheses about plant naturalization,2009,Ecology Letters,1174,1183,59
"Van De Waal, D.B., Verspagen, J.M.H., Lürling, M., Van Donk, E., Visser, P.M., Huisman, J.",The ecological stoichiometry of toxins produced by harmful cyanobacteria: An experimental test of the carbon-nutrient balance hypothesis,2009,Ecology Letters,1326,1335,59
"Kortet, R., Hedrick, A.V., Vainikka, A.","Parasitism, predation and the evolution of animal personalities",2010,Ecology Letters,1449,1458,59
"O'Dwyer, J.P., Green, J.L.",Field theory for biogeography: A spatially explicit model for predicting patterns of biodiversity,2010,Ecology Letters,87,95,59
"Donatti, C.I., Guimarães, P.R., Galetti, M., Pizo, M.A., Marquitti, F.M.D., Dirzo, R.",Analysis of a hyper-diverse seed dispersal network: Modularity and underlying mechanisms,2011,Ecology Letters,773,781,59
"Rafferty, N.E., Ives, A.R.",Effects of experimental shifts in flowering phenology on plant-pollinator interactions,2011,Ecology Letters,69,74,59
"Laughlin, D.C., Joshi, C., van Bodegom, P.M., Bastow, Z.A., Fulé, P.Z.",A predictive model of community assembly that incorporates intraspecific trait variation,2012,Ecology Letters,1291,1299,59
"Liu, X., Liang, M., Etienne, R.S., Wang, Y., Staehelin, C., Yu, S.",Experimental evidence for a phylogenetic Janzen-Connell effect in a subtropical forest,2012,Ecology Letters,111,118,59
"Richards, C.L., Schrey, A.W., Pigliucci, M.",Invasion of diverse habitats by few Japanese knotweed genotypes is correlated with epigenetic differentiation,2012,Ecology Letters,1016,1025,59
"Aplin, L.M., Farine, D.R., Morand-Ferron, J., Cole, E.F., Cockburn, A., Sheldon, B.C.",Individual personalities predict social behaviour in wild networks of great tits (Parus major),2013,Ecology Letters,1365,1372,59
"Thuiller, W., Münkemüller, T., Lavergne, S., Mouillot, D., Mouquet, N., Schiffers, K., Gravel, D.",A road map for integrating eco-evolutionary processes into biodiversity models,2013,Ecology Letters,94,105,59
"Meehan, T.D., Jetz, W., Brown, J.H.",Energetic determinants of abundance in winter landbird communities,2004,Ecology Letters,532,537,60
"Benner, J.W., Vitousek, P.M.",Development of a diverse epiphyte community in response to phosphorus fertilization,2007,Ecology Letters,628,636,60
"Carlson, S.M., Edeline, E., Asbjørn Vøllestad, L., Haugen, T.O., Winfield, I.J., Fletcher, J.M., Ben James, J., Stenseth, N.Chr.",Four decades of opposing natural and human-induced artificial selection acting on Windermere pike (Esox lucius),2007,Ecology Letters,512,521,60
"Lovelock, C.E., Feller, I.C., Ball, M.C., Ellis, J., Sorrell, B.",Testing the growth rate vs. geochemical hypothesis for latitudinal variation in plant nutrients,2007,Ecology Letters,1154,1163,60
"McCoy, M.W., Gillooly, J.F.",Predicting natural mortality rates of plants and animals,2008,Ecology Letters,710,716,60
"Menge, B.A., Chan, F., Lubchenco, J.",Response of a rocky intertidal ecosystem engineer and community dominant to climate change,2008,Ecology Letters,151,162,60
"Oliver, T., Hill, J.K., Thomas, C.D., Brereton, T., Roy, D.B.",Changes in habitat specificity of species at their climatic range boundaries,2009,Ecology Letters,1091,1102,60
"Rasmann, S., Agrawal, A.A.","Latitudinal patterns in plant defense: Evolution of cardenolides, their toxicity and induction following herbivory",2011,Ecology Letters,476,483,60
"Cadotte, M., Albert, C.H., Walker, S.C.",The ecology of differences: Assessing community assembly with trait and evolutionary distances,2013,Ecology Letters,1234,1244,60
"Wang, I.J., Glor, R.E., Losos, J.B.",Quantifying the roles of ecology and geography in spatial genetic divergence,2013,Ecology Letters,175,182,60
"Chenoweth, S.F., Doughty, P., Kokko, H.",Can non-directional male mating preferences facilitate honest female ornamentation?,2006,Ecology Letters,179,184,61
"Questad, E.J., Foster, B.L.",Coexistence through spatio-temporal heterogeneity and species sorting in grassland plant communities,2008,Ecology Letters,717,726,61
"Kellner, J.R., Asner, G.P.",Convergent structural responses of tropical forests to diverse disturbance regimes,2009,Ecology Letters,887,897,61
"Berggren, M., Ström, L., Laudon, H., Karlsson, J., Jonsson, A., Giesler, R., Bergström, A.-K., Jansson, M.",Lake secondary production fueled by rapid transfer of low molecular weight organic carbon from terrestrial sources to aquatic consumers,2010,Ecology Letters,870,880,61
"Cronin, J.P., Welsh, M.E., Dekkers, M.G., Abercrombie, S.T., Mitchell, C.E.",Host physiological phenotype explains pathogen reservoir potential,2010,Ecology Letters,1221,1232,61
"Leprieur, F., Tedesco, P.A., Hugueny, B., Beauchard, O., Dürr, H.H., Brosse, S., Oberdorff, T.",Partitioning global patterns of freshwater fish beta diversity reveals contrasting signatures of past climate changes,2011,Ecology Letters,325,334,61
"Mumby, P.J., Elliott, I.A., Eakin, C.M., Skirving, W., Paris, C.B., Edwards, H.J., Enríquez, S., Iglesias-Prieto, R., Cherubin, L.M., Stevens, J.R.",Reserve design for uncertain responses of coral reefs to climate change,2011,Ecology Letters,132,140,61
"Warman, L.D., Forsyth, D.M., Sinclair, A.R.E., Freemark, K., Moore, H.D., Barrett, T.W., Pressey, R.L., White, D.","Species distributions, surrogacy, and important conservation regions in Canada",2004,Ecology Letters,374,379,62
"Bradley, C.A., Altizer, S.",Parasites hinder monarch butterfly flight: Implications for disease spread in migratory hosts,2005,Ecology Letters,290,300,62
"Morin, X., Chuine, I.","Niche breadth, competitive strength and range size of tree species: A trade-off based framework to understand species distribution",2006,Ecology Letters,185,195,62
"Redpath, S.M., Mougeot, F., Leckie, F.M., Elston, D.A., Hudson, P.J.",Testing the role of parasites in driving the cyclic population dynamics of a gamebird,2006,Ecology Letters,410,418,62
"Jansson, R., Davies, T.J.",Global variation in diversification rates of flowering plants: Energy vs. climate change,2008,Ecology Letters,173,183,62
"Reuman, D.C., Mulder, C., Raffaelli, D., Cohen, J.E.",Three allometric relations of population density to body mass: Theoretical integration and empirical tests in 149 food webs,2008,Ecology Letters,1216,1228,62
"García-Palacios, P., Maestre, F.T., Kattge, J., Wall, D.H.",Climate and litter quality differently modulate the effects of soil fauna on litter decomposition across biomes,2013,Ecology Letters,1045,1053,62
"White, C., Kendall, B.E., Gaines, S., Siegel, D.A., Costello, C.",Marine reserve effects on fishery profit,2008,Ecology Letters,370,379,63
"Allesina, S., Pascual, M.",Food web models: A plea for groups,2009,Ecology Letters,652,662,63
"Salinas, S., Munch, S.B.",Thermal legacies: Transgenerational effects of temperature on growth in a vertebrate,2012,Ecology Letters,159,163,63
"Meiners, S.J., Cadenasso, M.L., Pickett, S.T.A.",Beyond biodiversity: Individualistic controls of invasion in a self-assembled community,2004,Ecology Letters,121,126,64
"Steiner, C.F., Long, Z.T., Krumins, J.A., Morin, P.J.","Temporal stability of aquatic food webs: Partitioning the effects of species diversity, species composition and enrichment",2005,Ecology Letters,819,828,64
"Wolfe, B.E., Husband, B.C., Klironomos, J.N.",Effects of a belowground mutualism on an aboveground mutualism,2005,Ecology Letters,218,223,64
"Moore, K.A., Elmendorf, S.C.",Propagule vs. niche limitation: Untangling the mechanisms behind plant species' distributions,2006,Ecology Letters,797,804,64
"Woodcock, S., Curtis, T.P., Head, I.M., Lunn, M., Sloan, W.T.",Taxa-area relationships for microbes: The unsampled and the unseen,2006,Ecology Letters,805,812,64
"Green, J.L., Plotkin, J.B.",A statistical theory for sampling species abundances,2007,Ecology Letters,1037,1045,64
"Bongers, F., Poorter, L., Hawthorne, W.D., Sheil, D.","The intermediate disturbance hypothesis applies to tropical forests, but disturbance contributes little to tree diversity",2009,Ecology Letters,798,805,64
"Grman, E., Lau, J.A., Schoolmaster, D.R., Gross, K.L.",Mechanisms contributing to stability in ecosystem function depend on the environmental context,2010,Ecology Letters,1400,1410,64
"Isaac, N.J.B., Carbone, C.",Why are metabolic scaling exponents so controversial? Quantifying variance and testing hypotheses,2010,Ecology Letters,728,735,64
"McClintock, B.T., Nichols, J.D., Bailey, L.L., MacKenzie, D.I., Kendall, W.L., Franklin, A.B.",Seeking a second opinion: Uncertainty in disease ecology,2010,Ecology Letters,659,674,64
"Wintle, B.A., Runge, M.C., Bekessy, S.A.",Allocating monitoring effort in the face of unknown unknowns,2010,Ecology Letters,1325,1337,64
"Fehl, K., van der Post, D.J., Semmann, D.",Co-evolution of behaviour and social network structure promotes human cooperation,2011,Ecology Letters,546,551,64
"Hortal, J., Diniz-Filho, J.A.F., Bini, L.M., Rodríguez, M.A., Baselga, A., Nogués-Bravo, D., Rangel, T.F., Hawkins, B.A., Lobo, J.M.","Ice age climate, evolutionary constraints and diversity patterns of european dung beetles",2011,Ecology Letters,741,748,64
"Rudolf, V.H.W., Lafferty, K.D.",Stage structure alters how complexity affects stability of ecological networks,2011,Ecology Letters,75,79,64
"Johnson, P.T.J., Rohr, J.R., Hoverman, J.T., Kellermanns, E., Bowerman, J., Lunde, K.B.",Living fast and dying of infection: Host life history drives interspecific variation in infection and disease risk,2012,Ecology Letters,235,242,64
"Stoks, R., De Block, M., McPeek, M.A.",Alternative growth and energy storage responses to mortality threats in damselflies,2005,Ecology Letters,1307,1316,65
"Laine, A.-L.",Temperature-mediated patterns of local adaptation in a natural plant-pathogen metapopulation,2008,Ecology Letters,327,337,65
"Becks, L., Ellner, S.P., Jones, L.E., Hairston Nelson G., N.G.",Reduction of adaptive genetic diversity radically alters eco-evolutionary community dynamics,2010,Ecology Letters,989,997,65
"Uriarte, M., Swenson, N.G., Chazdon, R.L., Comita, L.S., John Kress, W., Erickson, D., Forero-Montaña, J., Zimmerman, J.K., Thompson, J.","Trait similarity, shared ancestry and the structure of neighbourhood interactions in a subtropical wet forest: Implications for community assembly",2010,Ecology Letters,1503,1514,65
"Dickie, I.A., Fukami, T., Wilkie, J.P., Allen, R.B., Buchanan, P.K.",Do assembly history effects attenuate from species to ecosystem properties? A field test with wood-inhabiting fungi,2012,Ecology Letters,133,141,65
"Mordecai, E.A., Paaijmans, K.P., Johnson, L.R., Balzer, C., Ben-Horin, T., de Moor, E., Mcnally, A., Pawar, S., Ryan, S.J., Smith, T.C., Lafferty, K.D.",Optimal temperature for malaria transmission is dramatically lower than previously predicted,2013,Ecology Letters,22,30,65
