month,day,is_retweet,favorite_count,text
12.0,9,FALSE,23051,"Join me live in Louisiana! Tomorrow, we need you to go to the polls &amp; send John Kennedy to the U.S. Senate. https://t.co/O0jtz0BKeL"
12.0,9,FALSE,40714,"THANK YOU IOWA!
#ThankYouTour2016 https://t.co/v6EB2OQMeO"
12.0,8,FALSE,20652,"Join me tomorrow! #MAGA 
10am- Baton Rouge, LA. 
Tickets: https://t.co/rvIQ6Yq45P
7pm- Grand Rapids, MI.
Tickets: https://t.co/2UTwAg5V87"
12.0,8,FALSE,21863,"On my way to Des Moines, Iowa- will see you soon with @mike_pence. Join us! Tickets: https://t.co/1IuRTVwMSx #ThankYouTour2016"
12.0,8,FALSE,95348,Today we lost a great pioneer of air and space in John Glenn. He was a hero and inspired generations of future explorers. He will be missed.
12.0,8,FALSE,57293,"If United Steelworkers 1999 was any good, they would have kept those jobs in Indiana. Spend more time working-less time talking. Reduce dues"
12.0,8,FALSE,49838,"Chuck Jones, who is President of United Steelworkers 1999, has done a terrible job representing workers. No wonder companies flee country!"
12.0,7,FALSE,27305,"Join me tomorrow in Des Moines, Iowa with Vice President-Elect @mike_pence - at 7:00pm!
#ThankYouTour2016 #MAGA… https://t.co/Geq6sT70IT"
12.0,7,FALSE,77162,"We pause today to remember the 2,403 American heroes who selflessly gave their lives at Pearl Harbor 75 years ago...
https://t.co/r5eRLR24Q3"
12.0,7,FALSE,32203,I will be interviewed on the @TODAYshow at 7:30. Enjoy!
12.0,7,FALSE,36249,"A great night in Fayetteville, North Carolina. Thank you! #ICYMI watch here: https://t.co/ZAuTgxKPpb https://t.co/EF9xRWmciA"
12.0,6,FALSE,70289,"Departing New York with General James 'Mad Dog' Mattis for tonight's rally in Fayetteville, North Carolina! See you… https://t.co/Z8sgJBWI09"
12.0,6,FALSE,48486,Masa said he would never do this had we (Trump) not won the election!
12.0,6,FALSE,88915,"Masa (SoftBank) of Japan has agreed to invest $50 billion in the U.S. toward businesses and 50,000 new jobs...."
12.0,6,FALSE,26789,"Join me tonight in Fayetteville, North Carolina at 7pm! 
#ThankYouTour2016 
Tickets: https://t.co/79AHq3NC0v https://t.co/KoZCE7JeG7"
12.0,6,FALSE,141634,"Boeing is building a brand new 747 Air Force One for future presidents, but costs are out of control, more than $4 billion. Cancel order!"
12.0,5,FALSE,27009,"#ThankYouTour2016 

12/6- North Carolina
https://t.co/79AHq3NC0v

12/8- Iowa
https://t.co/1IuRTVwMSx

12/9- Michiga… https://t.co/vcQaIJ8qoB"
12.0,5,FALSE,141203,"If the press would cover me accurately &amp; honorably, I would have far less reason to ""tweet."" Sadly, I don't know if that will ever happen!"
12.0,5,FALSE,107202,I am thrilled to nominate Dr. @RealBenCarson as our next Secretary of the US Dept. of Housing and Urban Development… https://t.co/OJKuDFhP3r
12.0,4,FALSE,51993,their country (the U.S. doesn't tax them) or to build a massive military complex in the middle of the South China Sea?  I don't think so!
12.0,4,FALSE,67532,"Did China ask us if it was OK to devalue their currency (making it hard for our companies to compete), heavily tax our products going into.."
12.0,4,FALSE,31397,".@FoxNews will be re-running ""Objectified: Donald Trump,"" the ratings hit produced by the great Harvey Levin of TMZ, at 8:00 P.M. Enjoy!"
12.0,4,FALSE,95381,The Green Party just dropped its recount suit in Pennsylvania and is losing votes in Wisconsin recount. Just a Stein scam to raise money!
12.0,4,FALSE,58188,expensive mistake! THE UNITED STATES IS OPEN FOR BUSINESS
12.0,4,FALSE,42184,"these companies are able to move between all 50 states, with no tax or tariff being charged. Please be forewarned prior to making a very ..."
12.0,4,FALSE,40464,"wanting to sell their product, cars, A.C. units etc., back across the border. This tax will make leaving financially difficult, but....."
12.0,4,FALSE,48467,"without retribution or consequence, is WRONG! There will be a tax on our soon to be strong border of 35% for these companies ......"
12.0,4,FALSE,46329,"fires its employees, builds a new factory or plant in the other country, and then thinks it will sell its product back into the U.S.  ......"
12.0,4,FALSE,53412,"The U.S. is going to substantialy reduce taxes and regulations on businesses, but any business that leaves our country for another country,"
12.0,4,FALSE,115332,"Just tried watching Saturday Night Live - unwatchable! Totally biased, not funny and the Baldwin impersonation just can't get any worse. Sad"
12.0,3,FALSE,39351,"Our great VPE, @mike_pence, is in Louisiana campaigning for John Kennedy for US Senate. John will be a tremendous help to us in Washington."
12.0,3,FALSE,39057,State Treasurer John Kennedy is my choice for US Senator from Louisiana. Early voting today; election next Saturday.
12.0,3,FALSE,37901,"""@TigerWoods: Can’t wait to get back out there and mix it up with the boys. –TW #heroworldchallenge"" Great to have you back Tiger - Special!"
12.0,3,FALSE,64422,Rexnord of Indiana is moving to Mexico and rather viciously firing all of its 300 workers. This is happening all over our country. No more!
12.0,3,FALSE,122905,Interesting how the U.S. sells Taiwan billions of dollars of military equipment but I should not accept a congratulatory call.
