day,month,PrimaryType,n
6,11.0,ROBBERY,37.0
6,12.0,ROBBERY,48.0
7,1.0,ROBBERY,38.0
7,2.0,ROBBERY,22.0
7,3.0,ROBBERY,26.0
7,4.0,ROBBERY,26.0
7,5.0,ROBBERY,35.0
7,6.0,ROBBERY,35.0
7,7.0,ROBBERY,29.0
7,8.0,ROBBERY,38.0
7,9.0,ROBBERY,22.0
7,10.0,ROBBERY,36.0
7,11.0,ROBBERY,43.0
7,12.0,ROBBERY,27.0
8,1.0,ROBBERY,47.0
8,2.0,ROBBERY,21.0
8,3.0,ROBBERY,34.0
8,4.0,ROBBERY,23.0
8,5.0,ROBBERY,33.0
8,6.0,ROBBERY,38.0
8,7.0,ROBBERY,34.0
8,8.0,ROBBERY,47.0
8,9.0,ROBBERY,37.0
8,10.0,ROBBERY,41.0
8,11.0,ROBBERY,33.0
8,12.0,ROBBERY,28.0
9,1.0,ROBBERY,39.0
9,2.0,ROBBERY,17.0
9,3.0,ROBBERY,23.0
9,4.0,ROBBERY,22.0
9,5.0,ROBBERY,25.0
9,6.0,ROBBERY,17.0
9,7.0,ROBBERY,40.0
9,8.0,ROBBERY,35.0
9,9.0,ROBBERY,41.0
9,10.0,ROBBERY,27.0
9,11.0,ROBBERY,36.0
9,12.0,ROBBERY,36.0
10,1.0,ROBBERY,38.0
10,2.0,ROBBERY,17.0
10,3.0,ROBBERY,23.0
10,4.0,ROBBERY,30.0
10,5.0,ROBBERY,23.0
10,6.0,ROBBERY,18.0
10,7.0,ROBBERY,41.0
10,8.0,ROBBERY,33.0
10,9.0,ROBBERY,39.0
10,10.0,ROBBERY,36.0
10,11.0,ROBBERY,33.0
10,12.0,ROBBERY,31.0
11,1.0,ROBBERY,41.0
11,2.0,ROBBERY,26.0
11,3.0,ROBBERY,20.0
11,4.0,ROBBERY,33.0
11,5.0,ROBBERY,33.0
11,6.0,ROBBERY,25.0
11,7.0,ROBBERY,36.0
11,8.0,ROBBERY,31.0
11,9.0,ROBBERY,32.0
11,10.0,ROBBERY,36.0
11,11.0,ROBBERY,45.0
11,12.0,ROBBERY,28.0
12,1.0,ROBBERY,21.0
12,2.0,ROBBERY,21.0
12,3.0,ROBBERY,27.0
12,4.0,ROBBERY,26.0
12,5.0,ROBBERY,23.0
12,6.0,ROBBERY,27.0
12,7.0,ROBBERY,33.0
12,8.0,ROBBERY,41.0
12,9.0,ROBBERY,32.0
12,10.0,ROBBERY,29.0
12,11.0,ROBBERY,41.0
12,12.0,ROBBERY,34.0
13,1.0,ROBBERY,33.0
13,2.0,ROBBERY,25.0
13,3.0,ROBBERY,18.0
13,4.0,ROBBERY,26.0
13,5.0,ROBBERY,26.0
13,6.0,ROBBERY,25.0
13,7.0,ROBBERY,45.0
13,8.0,ROBBERY,43.0
13,9.0,ROBBERY,38.0
13,10.0,ROBBERY,34.0
13,11.0,ROBBERY,36.0
13,12.0,ROBBERY,26.0
14,1.0,ROBBERY,28.0
14,2.0,ROBBERY,26.0
14,3.0,ROBBERY,22.0
14,4.0,ROBBERY,18.0
14,5.0,ROBBERY,28.0
14,6.0,ROBBERY,29.0
14,7.0,ROBBERY,29.0
14,8.0,ROBBERY,44.0
14,9.0,ROBBERY,34.0
14,10.0,ROBBERY,29.0
14,11.0,ROBBERY,34.0
14,12.0,ROBBERY,30.0
15,1.0,ROBBERY,37.0
15,2.0,ROBBERY,22.0
15,3.0,ROBBERY,30.0
15,4.0,ROBBERY,23.0
15,5.0,ROBBERY,29.0
15,6.0,ROBBERY,44.0
15,7.0,ROBBERY,34.0
15,8.0,ROBBERY,30.0
15,9.0,ROBBERY,39.0
15,10.0,ROBBERY,45.0
15,11.0,ROBBERY,35.0
15,12.0,ROBBERY,29.0
16,1.0,ROBBERY,28.0
16,2.0,ROBBERY,29.0
